Date,Time,L,R,Bottle,Amount,Breast,Formula,Food,Quantity,Response,Notes
2016-09-07,8:34:30 AM,336,1126,,,,,,,,
2016-09-07,7:52:22 AM,,647,,,,,,,,
2016-09-07,6:45:57 AM,478,,,,,,,,,
2016-09-07,4:08:01 AM,368,980.2349,,,,,,,,
2016-09-06,8:19:03 PM,695.5293,752,,,,,,,,
2016-09-06,7:55:37 PM,120,,,,,,,,,
2016-09-06,7:24:08 PM,348,,,,,,,,,
2016-09-06,6:26:00 PM,32,788,,,,,,,,
2016-09-06,4:43:47 PM,1000,,,,,,,,,
2016-09-06,3:38:29 PM,,398,,,,,,,,
2016-09-06,1:57:55 PM,469,558,,,,,,,,
2016-09-06,1:36:08 PM,,291,,,,,,,,
2016-09-06,12:49:42 PM,879,,,,,,,,,
2016-09-06,11:48:30 AM,,2280,,,,,,,,
2016-09-06,10:41:00 AM,960,,,,,,,,,
2016-09-06,9:55:15 AM,287,313.2948,,,,,,,,
2016-09-06,9:07:53 AM,,325,,,,,,,,
2016-09-06,7:59:00 AM,660,369,,,,,,,,
2016-09-06,6:37:41 AM,,983,,,,,,,,
2016-09-06,3:36:16 AM,750,,,,,,,,,
2016-09-05,8:29:35 PM,,181,,,,,,,,
2016-09-05,7:41:53 PM,1300.935,223.9007,,,,,,,,
2016-09-05,6:51:00 PM,,1178,,,,,,,,
2016-09-05,6:05:10 PM,600,,,,,,,,,
2016-09-05,5:03:35 PM,,616,,,,,,,,
2016-09-05,4:10:00 PM,566,,,,,,,,,
2016-09-05,2:24:07 PM,,1192,,,,,,,,
2016-09-05,1:14:54 PM,,412,,,,,,,,
2016-09-05,12:40:08 PM,774,,,,,,,,,
2016-09-05,10:10:50 AM,217.4252,369,,,,,,,,
2016-09-05,9:13:46 AM,634,,,,,,,,,
2016-09-05,8:34:59 AM,,506,,,,,,,,
2016-09-05,7:06:59 AM,297,,,,,,,,,
2016-09-05,5:25:29 AM,198,1196,,,,,,,,
2016-09-05,1:30:41 AM,839,,,,,,,,,
2016-09-04,7:42:10 PM,,1580,,,,,,,,
2016-09-04,7:09:02 PM,420,,,,,,,,,
2016-09-04,6:34:48 PM,300,,,,,,,,,
2016-09-04,6:04:39 PM,291,,,,,,,,,
2016-09-04,5:13:49 PM,,539,,,,,,,,
2016-09-04,4:02:26 PM,1200,,,,,,,,,
2016-09-04,2:44:16 PM,,768,,,,,,,,
2016-09-04,12:33:20 PM,851,,,,,,,,,
2016-09-04,11:40:36 AM,,852,,,,,,,,
2016-09-04,10:52:05 AM,,1057,,,,,,,,
2016-09-04,9:30:09 AM,622,,,,,,,,,
